product_id,product_name,category,variant_label,sku,initial_stock_quantity,low_stock_threshold,product_is_active,variant_is_active
academy-trainer-pro,Academy Trainer Pro,Football Shoes,UK 6,ATF-ACADEMY-TRAINER-PRO-UK6,10,3,true,true
academy-trainer-pro,Academy Trainer Pro,Football Shoes,UK 7,ATF-ACADEMY-TRAINER-PRO-UK7,10,3,true,true
academy-trainer-pro,Academy Trainer Pro,Football Shoes,UK 8,ATF-ACADEMY-TRAINER-PRO-UK8,10,3,true,true
academy-trainer-pro,Academy Trainer Pro,Football Shoes,UK 9,ATF-ACADEMY-TRAINER-PRO-UK9,10,3,true,true
academy-trainer-pro,Academy Trainer Pro,Football Shoes,UK 10,ATF-ACADEMY-TRAINER-PRO-UK10,10,3,true,true
academy-trainer-pro,Academy Trainer Pro,Football Shoes,UK 11,ATF-ACADEMY-TRAINER-PRO-UK11,10,3,true,true
aero-touch-academy,Aero Touch Academy,Football Shoes,UK 6,ATF-AERO-TOUCH-ACADEMY-UK6,10,3,true,true
aero-touch-academy,Aero Touch Academy,Football Shoes,UK 7,ATF-AERO-TOUCH-ACADEMY-UK7,10,3,true,true
aero-touch-academy,Aero Touch Academy,Football Shoes,UK 8,ATF-AERO-TOUCH-ACADEMY-UK8,10,3,true,true
aero-touch-academy,Aero Touch Academy,Football Shoes,UK 9,ATF-AERO-TOUCH-ACADEMY-UK9,10,3,true,true
aero-touch-academy,Aero Touch Academy,Football Shoes,UK 10,ATF-AERO-TOUCH-ACADEMY-UK10,10,3,true,true
aero-touch-academy,Aero Touch Academy,Football Shoes,UK 11,ATF-AERO-TOUCH-ACADEMY-UK11,10,3,true,true
carbon-speed-elite,Carbon Speed Elite,Football Shoes,UK 6,ATF-CARBON-SPEED-ELITE-UK6,10,3,true,true
carbon-speed-elite,Carbon Speed Elite,Football Shoes,UK 7,ATF-CARBON-SPEED-ELITE-UK7,10,3,true,true
